,address,area,bedrooms,bathrooms,price,floors,street,street_Ao Sen,street_Biên Giang,street_Bà Triệu,street_Bạch Thái Bưởi,street_Bắc,street_Bế Văn Đàn,street_Chiến Thắng,street_Chợ,street_Cầu Am,street_Cầu Đơ 1,street_Dương Nội,street_Hoàng Hoa Thám,street_Hà Trì,street_Kiến Hưng,street_Làng Việt Kiều Châu Âu,street_Lê Hồng Phong,street_Lê Quý Đôn,street_Lê Trọng Tấn,street_Lụa,street_Mậu Lương,street_Mỗ Lao,street_Nguyễn Khuyến,street_Nguyễn Thái Học,street_Nguyễn Trãi,street_Nguyễn Viết Xuân,street_Nguyễn Văn Lộc,street_Nguyễn Văn Trỗi,street_Ngô Quyền,street_Ngô Thì Nhậm,street_Nhuệ Giang,street_Phan Chu Trinh,street_Phan Đình Giót,street_Phùng Hưng,street_Phú Lãm,street_Phú Lương,street_Quang Trung,street_Thanh Bình,street_Thanh Lãm,street_Trần Phú,street_Trần Đăng Ninh,street_Tô Hiệu,street_Văn Khê,street_Văn Phú,street_Văn Quán,street_Văn Yên,street_Vạn Phúc,street_Xa La,street_Xốm,street_Yên Nghĩa,street_Yên Phúc,street_Yết Kiêu,street_Đa Sỹ,street_Đại An,street_Đất
6,"Quận Hà Đông, Hà Nội",402.0,6,4,11900000000.0,3.0,Thanh Bình,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,"Quận Hà Đông, Hà Nội",352.0,3,3,12000000000.0,5.0,Trần Phú,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,"Quận Hà Đông, Hà Nội",702.0,13,7,17500000000.0,7.0,Trần Phú,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,"Quận Hà Đông, Hà Nội",522.0,13,7,16500000000.0,7.0,Trần Phú,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,"Quận Hà Đông, Hà Nội",3702.0,8,4,40000000000.0,4.0,Lê Trọng Tấn,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
20,"Quận Hà Đông, Hà Nội",332.0,4,4,6800000000.0,5.0,Văn Quán,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
21,"Quận Hà Đông, Hà Nội",312.0,3,4,3600000000.0,5.0,Yên Nghĩa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
22,"Quận Hà Đông, Hà Nội",882.0,6,5,21000000000.0,20.0,Mỗ Lao,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,"Quận Hà Đông, Hà Nội",382.0,3,4,8200000000.0,5.0,Vạn Phúc,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
24,"Quận Hà Đông, Hà Nội",532.0,6,3,7500000000.0,5.0,Mỗ Lao,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25,"Quận Hà Đông, Hà Nội",332.0,3,4,4000000000.0,5.0,Yên Nghĩa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
26,"Quận Hà Đông, Hà Nội",422.0,4,4,11800000000.0,5.0,Mỗ Lao,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
