title,address,area,bedrooms,bathrooms,price,floors,street
chính chủ Bán LK mới hiện đại full nội thất thang máy nhập.KĐT Văn Phú,"Quận Hà Đông, Hà Nội",100 m2,7 PN,4 WC,16 tỷ,,Văn Phú
"Bán nhà đường Thanh Bình, Mộ Lao, Hà Đông, 3 ô tô đỗ, tránh, DT50m2","Quận Hà Đông, Hà Nội",50 m2,4 PN,4 WC,14 tỷ 500 triệu,,Thanh Bình
"Bán nhà đường Ngô Thì Nhậm, Quang Trung, Hà Đông, Ô tô lùi cửa","Quận Hà Đông, Hà Nội",50 m2,3 PN,3 WC,10 tỷ 350 triệu,,Ngô Thì Nhậm
"Bán nhà đường Ngô Thì Nhậm, Quang Trung, Hà Đông, Ô tô lùi cửa, DT51","Quận Hà Đông, Hà Nội",51 m2,3 PN,3 WC,10 tỷ 800 triệu,,Ngô Thì Nhậm
"Bán nhà đường 19/5, Văn Quán, Hà Đông, ngõ nông, gần phố, DT34","Quận Hà Đông, Hà Nội",34 m2,3 PN,3 WC,6 tỷ 600 triệu,,Văn Quán
"Bán nhà đường 19/5, Văn Quán, Hà Đông, ngõ nông, gần phố, gần ô tô đỗ,","Quận Hà Đông, Hà Nội",30 m2,3 PN,4 WC,6 tỷ 900 triệu,,Văn Quán
"Bán nhà đường Thanh Bình, Mộ Lao, Hà Đông, ô tô đỗ, tránh, 3 thoáng DT","Quận Hà Đông, Hà Nội",40 m2,6 PN,4 WC,11 tỷ 900 triệu,3,Thanh Bình
"Bán nhà đường 19/5, Văn Quán, Hà Đông, ngõ nông, DT30","Quận Hà Đông, Hà Nội",30 m2,4 PN,5 WC,5 tỷ 950 triệu,,Văn Quán
"Bán nhà đường Lê Lai, Nguyễn Trãi, Hà Đông, 3 ô tô đỗ tránh nhau, DT36","Quận Hà Đông, Hà Nội",26 m2,2 PN,3 WC,12 tỷ 800 triệu,,Lê Lai
"Bán nhà ngõ Tô Hiệu, Nguyễn Trãi, Hà Đông, ô tô đỗ trong nhà, DT47","Quận Hà Đông, Hà Nội",47 m2,4 PN,5 WC,10 tỷ 950 triệu,,Nguyễn Trãi
"Bán nhà đường Thanh Bình, Mộ Lao, Hà Đông, ô tô đỗ tránh, DT33m2","Quận Hà Đông, Hà Nội",33 m2,2 PN,3 WC,9 tỷ 980 triệu,,Thanh Bình
"Bán nhà đường Trần Phú,Mộ Lao, Hà Đông, ô tô tránh, 5 tầng, kinh doanh","Quận Hà Đông, Hà Nội",35 m2,3 PN,3 WC,12 tỷ,5,Trần Phú
